early_access,genres_encoded,metascore,año,price
False,1,38,2009,9.99
False,1,38,2009,9.99
False,6,80,2009,14.99
False,6,80,2009,14.99
False,6,80,2009,14.99
False,6,80,2009,14.99
False,6,80,2009,14.99
False,6,80,2009,14.99
False,10,80,2009,14.99
False,10,80,2009,14.99
False,10,80,2009,14.99
False,10,80,2009,14.99
False,10,80,2009,14.99
False,10,80,2009,14.99
False,10,76,2009,4.99
False,10,76,2009,4.99
False,10,77,2009,4.99
False,10,77,2009,4.99
False,1,74,2009,9.99
False,6,74,2009,9.99
False,1,68,2009,14.99
False,1,68,2009,14.99
False,1,68,2009,14.99
False,1,68,2009,14.99
False,1,68,2009,14.99
False,1,68,2009,14.99
False,1,68,2009,14.99
False,1,68,2009,14.99
False,5,68,2009,14.99
False,5,68,2009,14.99
False,5,68,2009,14.99
False,5,68,2009,14.99
False,5,68,2009,14.99
False,5,68,2009,14.99
False,5,68,2009,14.99
False,5,68,2009,14.99
False,2,64,2009,9.99
False,6,91,2009,19.99
False,1,86,2009,19.99
False,1,86,2009,19.99
False,1,86,2009,19.99
False,1,86,2009,19.99
False,1,86,2009,19.99
False,1,86,2009,19.99
False,2,77,2009,19.99
False,2,77,2009,19.99
False,2,77,2009,19.99
False,2,77,2009,19.99
False,6,81,2007,4.99
False,6,81,2007,4.99
False,10,85,2007,14.99
False,10,77,2009,19.99
False,10,77,2009,19.99
False,5,72,2009,14.99
False,5,72,2009,14.99
False,5,72,2009,14.99
False,8,72,2009,14.99
False,8,72,2009,14.99
False,8,72,2009,14.99
False,10,72,2009,14.99
False,10,72,2009,14.99
False,10,72,2009,14.99
False,8,78,2009,9.99
False,8,78,2009,9.99
False,8,78,2009,9.99
False,1,70,2005,9.99
False,1,70,2005,9.99
False,1,70,2005,9.99
False,1,70,2005,9.99
False,2,70,2005,9.99
False,2,70,2005,9.99
False,2,70,2005,9.99
False,2,70,2005,9.99
False,6,70,2005,9.99
False,6,70,2005,9.99
False,6,70,2005,9.99
False,6,70,2005,9.99
False,1,65,2009,19.99
False,1,65,2009,19.99
False,1,65,2009,19.99
False,6,91,2009,19.99
False,3,72,2009,1.99
False,3,72,2009,1.99
False,1,78,2008,19.99
False,1,78,2008,19.99
False,2,78,2008,19.99
False,2,78,2008,19.99
False,1,68,2010,9.99
False,5,68,2010,9.99
False,6,68,2010,9.99
False,10,68,2010,9.99
False,2,66,2010,19.99
False,2,66,2010,19.99
False,1,87,2001,9.99
False,1,87,2001,9.99
False,1,87,2001,9.99
False,1,87,2001,9.99
False,1,87,2001,9.99
False,5,87,2001,9.99
False,5,87,2001,9.99
False,5,87,2001,9.99
False,5,87,2001,9.99
False,5,87,2001,9.99
False,1,78,2010,19.99
False,1,78,2010,19.99
False,1,78,2010,19.99
False,1,78,2010,19.99
False,1,78,2010,19.99
False,6,78,2010,19.99
False,6,78,2010,19.99
False,6,78,2010,19.99
False,6,78,2010,19.99
False,6,78,2010,19.99
False,1,76,2010,4.99
False,1,76,2010,4.99
False,1,76,2010,4.99
False,5,76,2010,4.99
False,5,76,2010,4.99
False,5,76,2010,4.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,1,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,3,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,5,70,2010,9.99
False,8,53,2010,9.99
False,10,53,2010,9.99
False,2,79,2010,4.99
False,2,79,2010,4.99
False,2,79,2010,4.99
False,2,79,2010,4.99
False,2,79,2010,4.99
False,5,79,2010,4.99
False,5,79,2010,4.99
False,5,79,2010,4.99
False,5,79,2010,4.99
False,5,79,2010,4.99
False,1,59,2003,4.99
False,1,67,2001,4.99
False,1,67,2001,4.99
False,1,63,2010,14.99
False,1,63,2010,14.99
False,1,63,2010,14.99
False,1,63,2010,14.99
False,1,63,2010,14.99
False,2,63,2010,14.99
False,2,63,2010,14.99
False,2,63,2010,14.99
False,2,63,2010,14.99
False,2,63,2010,14.99
False,1,72,2010,14.99
False,6,72,2010,14.99
False,1,64,2010,9.99
False,1,64,2010,9.99
False,1,64,2010,9.99
False,1,64,2010,9.99
False,1,77,2010,0.0
False,1,77,2010,0.0
False,1,77,2010,0.0
False,1,77,2010,0.0
False,1,77,2010,0.0
False,1,77,2010,0.0
False,1,77,2010,0.0
False,1,77,2010,0.0
False,10,56,2010,14.99
False,10,56,2010,14.99
False,10,56,2010,14.99
False,6,56,2010,14.99
False,6,56,2010,14.99
False,6,56,2010,14.99
False,3,75,2010,4.99
False,3,75,2010,4.99
False,3,75,2010,4.99
False,3,75,2010,4.99
False,3,75,2010,4.99
False,3,75,2010,4.99
False,3,75,2010,4.99
False,5,75,2010,4.99
False,5,75,2010,4.99
False,5,75,2010,4.99
False,5,75,2010,4.99
False,5,75,2010,4.99
False,5,75,2010,4.99
False,5,75,2010,4.99
False,1,61,2010,9.99
False,1,61,2010,9.99
False,1,61,2010,9.99
False,1,61,2010,9.99
False,3,61,2010,9.99
False,3,61,2010,9.99
False,3,61,2010,9.99
False,3,61,2010,9.99
False,5,61,2010,9.99
False,5,61,2010,9.99
False,5,61,2010,9.99
False,5,61,2010,9.99
False,1,66,2010,9.99
False,1,66,2010,9.99
False,1,66,2010,9.99
False,1,66,2010,9.99
False,1,66,2010,9.99
False,8,56,2010,9.99
False,10,56,2010,9.99
False,10,67,2010,4.99
False,10,67,2010,4.99
False,10,67,2010,4.99
False,10,67,2010,4.99
False,1,77,2011,29.99
False,1,77,2011,29.99
False,1,77,2011,29.99
False,6,83,2010,9.99
False,6,83,2010,9.99
False,6,83,2010,9.99
False,6,83,2010,9.99
False,6,83,2010,9.99
False,6,83,2010,9.99
False,3,83,2010,9.99
False,3,83,2010,9.99
False,3,83,2010,9.99
False,3,83,2010,9.99
False,3,83,2010,9.99
False,3,83,2010,9.99
False,1,72,2010,9.99
False,1,72,2010,9.99
False,1,72,2010,9.99
False,1,72,2010,9.99
False,1,72,2010,9.99
False,8,49,2010,19.99
False,8,49,2010,19.99
False,10,79,2010,19.99
False,10,79,2010,19.99
False,10,79,2010,19.99
False,10,79,2010,19.99
False,10,79,2010,19.99
False,10,79,2010,19.99
False,10,79,2010,19.99
False,5,38,2010,14.99
False,5,38,2010,14.99
False,5,38,2010,14.99
False,5,38,2010,14.99
False,5,38,2010,14.99
False,5,38,2010,14.99
False,8,38,2010,14.99
False,8,38,2010,14.99
False,8,38,2010,14.99
False,8,38,2010,14.99
False,8,38,2010,14.99
False,8,38,2010,14.99
False,10,38,2010,14.99
False,10,38,2010,14.99
False,10,38,2010,14.99
False,10,38,2010,14.99
False,10,38,2010,14.99
False,10,38,2010,14.99
False,10,75,2010,19.99
False,10,75,2010,19.99
False,10,75,2010,19.99
False,10,60,2002,4.99
False,10,60,2002,4.99
False,1,81,2010,4.99
False,1,81,2010,4.99
False,5,81,2010,4.99
False,5,81,2010,4.99
False,1,85,2010,19.99
False,1,85,2010,19.99
False,1,85,2010,19.99
False,1,85,2010,19.99
False,2,85,2010,19.99
False,2,85,2010,19.99
False,2,85,2010,19.99
False,2,85,2010,19.99
False,5,85,2010,19.99
False,5,85,2010,19.99
False,5,85,2010,19.99
False,5,85,2010,19.99
False,6,82,2010,19.99
False,6,82,2010,19.99
False,5,82,2010,19.99
False,5,82,2010,19.99
False,10,66,2010,14.99
False,6,78,2010,14.99
False,6,78,2010,14.99
False,6,78,2010,14.99
False,10,78,2010,14.99
False,10,78,2010,14.99
False,10,78,2010,14.99
False,10,90,2010,29.99
False,10,90,2010,29.99
False,10,90,2010,29.99
False,10,90,2010,29.99
False,10,90,2010,29.99
False,1,85,2002,9.99
False,1,85,2002,9.99
False,1,85,2002,9.99
False,1,85,2002,9.99
False,1,85,2002,9.99
False,5,85,2002,9.99
False,5,85,2002,9.99
False,5,85,2002,9.99
False,5,85,2002,9.99
False,5,85,2002,9.99
False,1,52,2010,2.99
False,1,52,2010,2.99
False,1,52,2010,2.99
False,1,52,2010,2.99
False,1,52,2010,2.99
False,2,52,2010,2.99
False,2,52,2010,2.99
False,2,52,2010,2.99
False,2,52,2010,2.99
False,2,52,2010,2.99
False,1,63,2010,9.99
False,1,63,2010,9.99
False,1,63,2010,9.99
False,1,63,2010,9.99
